trip_id,service,direction,destination,本通,県庁前,城北,新白島,白島,牛田,不動院前,祇園新橋北,西原,中筋,古市,大町,毘沙門台,安東,上安,高取,長楽寺,伴,大原,伴中央,大塚,広域公園前
H_KUDARI_001,holiday,広域公園前方面,広域公園前,06:02,06:03,06:05,06:07,06:08,06:09,06:11,06:13,06:15,06:17,06:19,06:20,06:22,06:24,06:26,06:27,06:29,06:31,06:33,06:35,06:37,06:39
H_KUDARI_002,holiday,広域公園前方面,広域公園前,06:22,06:23,06:26,06:27,06:28,06:30,06:32,06:34,06:36,06:37,06:39,06:41,06:43,06:45,06:46,06:48,06:50,06:52,06:54,06:56,06:58,06:59
H_KUDARI_003,holiday,広域公園前方面,広域公園前,06:41,06:42,06:45,06:46,06:47,06:49,06:51,06:53,06:55,06:56,06:58,07:00,07:02,07:04,07:05,07:07,07:09,07:11,07:13,07:15,07:17,07:18
H_KUDARI_004,holiday,広域公園前方面,広域公園前,06:54,06:55,06:58,06:59,07:00,07:02,07:04,07:06,07:08,07:09,07:11,07:13,07:15,07:17,07:18,07:20,07:22,07:24,07:26,07:28,07:30,07:31
H_KUDARI_005,holiday,広域公園前方面,広域公園前,07:07,07:08,07:11,07:12,07:13,07:15,07:17,07:19,07:21,07:22,07:24,07:26,07:28,07:30,07:31,07:33,07:35,07:37,07:39,07:41,07:43,07:44
H_KUDARI_006,holiday,広域公園前方面,広域公園前,07:20,07:21,07:24,07:25,07:26,07:28,07:30,07:32,07:34,07:35,07:37,07:39,07:41,07:43,07:44,07:46,07:48,07:50,07:52,07:54,07:56,07:57
H_KUDARI_007,holiday,広域公園前方面,広域公園前,07:31,07:32,07:35,07:36,07:37,07:39,07:41,07:43,07:45,07:46,07:48,07:50,07:52,07:54,07:55,07:57,07:59,08:01,08:03,08:05,08:07,08:08
H_KUDARI_008,holiday,広域公園前方面,広域公園前,07:41,07:42,07:45,07:46,07:47,07:49,07:51,07:53,07:55,07:56,07:58,08:00,08:02,08:04,08:05,08:07,08:09,08:11,08:13,08:15,08:17,08:18
H_KUDARI_009,holiday,広域公園前方面,広域公園前,07:51,07:52,07:55,07:56,07:57,07:59,08:01,08:03,08:05,08:06,08:08,08:10,08:12,08:14,08:15,08:17,08:19,08:21,08:23,08:25,08:27,08:28
H_KUDARI_010,holiday,広域公園前方面,広域公園前,08:00,08:01,08:04,08:05,08:06,08:08,08:10,08:12,08:14,08:15,08:17,08:19,08:21,08:23,08:24,08:26,08:28,08:30,08:32,08:34,08:36,08:37
H_KUDARI_011,holiday,広域公園前方面,広域公園前,08:09,08:10,08:13,08:14,08:15,08:17,08:19,08:21,08:23,08:24,08:26,08:28,08:30,08:32,08:33,08:35,08:37,08:39,08:41,08:43,08:45,08:46
H_KUDARI_012,holiday,広域公園前方面,広域公園前,08:17,08:18,08:21,08:22,08:23,08:25,08:27,08:29,08:31,08:32,08:34,08:36,08:38,08:40,08:41,08:43,08:45,08:47,08:49,08:51,08:53,08:54
H_KUDARI_013,holiday,広域公園前方面,広域公園前,08:25,08:26,08:29,08:30,08:31,08:33,08:35,08:37,08:39,08:40,08:42,08:44,08:46,08:48,08:49,08:51,08:53,08:55,08:57,08:59,09:01,09:02
H_KUDARI_014,holiday,広域公園前方面,長楽寺,08:32,08:33,08:36,08:37,08:38,08:40,08:42,08:44,08:46,08:47,08:49,08:51,08:53,08:55,08:56,08:58,08:59,,,,,
H_KUDARI_015,holiday,広域公園前方面,広域公園前,08:39,08:40,08:43,08:44,08:45,08:47,08:49,08:51,08:53,08:54,08:56,08:58,09:00,09:02,09:03,09:05,09:07,09:09,09:11,09:13,09:15,09:16
H_KUDARI_016,holiday,広域公園前方面,長楽寺,08:47,08:48,08:51,08:52,08:53,08:55,08:57,08:59,09:01,09:02,09:04,09:06,09:08,09:10,09:11,09:13,09:14,,,,,
H_KUDARI_017,holiday,広域公園前方面,広域公園前,08:55,08:56,08:59,09:00,09:01,09:03,09:05,09:07,09:09,09:10,09:12,09:14,09:16,09:18,09:19,09:21,09:23,09:25,09:27,09:29,09:31,09:32
H_KUDARI_018,holiday,広域公園前方面,広域公園前,09:05,09:06,09:09,09:10,09:11,09:13,09:15,09:17,09:19,09:20,09:22,09:24,09:26,09:28,09:29,09:31,09:33,09:35,09:37,09:39,09:41,09:42
H_KUDARI_019,holiday,広域公園前方面,広域公園前,09:15,09:16,09:19,09:20,09:21,09:23,09:25,09:27,09:29,09:30,09:32,09:34,09:36,09:38,09:39,09:41,09:43,09:45,09:47,09:49,09:51,09:52
H_KUDARI_020,holiday,広域公園前方面,広域公園前,09:25,09:26,09:29,09:30,09:31,09:33,09:35,09:37,09:39,09:40,09:42,09:44,09:46,09:48,09:49,09:51,09:53,09:55,09:57,09:59,10:01,10:02
H_KUDARI_021,holiday,広域公園前方面,広域公園前,09:35,09:36,09:39,09:40,09:41,09:43,09:45,09:47,09:49,09:50,09:52,09:54,09:56,09:58,09:59,10:01,10:03,10:05,10:07,10:09,10:11,10:12
H_KUDARI_022,holiday,広域公園前方面,広域公園前,09:45,09:46,09:49,09:50,09:51,09:53,09:55,09:57,09:59,10:00,10:02,10:04,10:06,10:08,10:09,10:11,10:13,10:15,10:17,10:19,10:21,10:22
H_KUDARI_023,holiday,広域公園前方面,広域公園前,09:55,09:56,09:59,10:00,10:01,10:03,10:05,10:07,10:09,10:10,10:12,10:14,10:16,10:18,10:19,10:21,10:23,10:25,10:27,10:29,10:31,10:32
H_KUDARI_024,holiday,広域公園前方面,広域公園前,10:05,10:06,10:09,10:10,10:11,10:13,10:15,10:17,10:19,10:20,10:22,10:24,10:26,10:28,10:29,10:31,10:33,10:35,10:37,10:39,10:41,10:42
H_KUDARI_025,holiday,広域公園前方面,広域公園前,10:15,10:16,10:19,10:20,10:21,10:23,10:25,10:27,10:29,10:30,10:32,10:34,10:36,10:38,10:39,10:41,10:43,10:45,10:47,10:49,10:51,10:52
H_KUDARI_026,holiday,広域公園前方面,広域公園前,10:25,10:26,10:29,10:30,10:31,10:33,10:35,10:37,10:39,10:40,10:42,10:44,10:46,10:48,10:49,10:51,10:53,10:55,10:57,10:59,11:01,11:02
H_KUDARI_027,holiday,広域公園前方面,長楽寺,10:35,10:36,10:39,10:40,10:41,10:43,10:45,10:47,10:49,10:50,10:52,10:54,10:56,10:58,10:59,11:01,11:02,,,,,
